plot,Species,leafBM,stemBM,base_diam,height
20,BERREP,0.77,0.12,2.68,15
21,BERREP,0.71,0.08,2.78,15
22,BERREP,2.03,0.38,3.53,22
24,BERREP,1.55,0.23,4.76,24
41,BERREP,1.17,0.28,2.92,17
42,BERREP,1.55,0.32,2.99,17
91,BERREP,1.72,0.24,4.23,20
92,BERREP,1.55,0.24,3.83,20.5
94,BERREP,1.31,0.22,3.07,18
122,BERREP,1.58,0.28,2.76,21
124,BERREP,0.83,0.14,2.38,11
125,BERREP,0.74,0.06,2.77,14
131,BERREP,2.13,0.56,3.48,28
132,BERREP,0.88,0.19,2.92,13
133,BERREP,0.44,0.1,1.74,10
135,BERREP,0.47,0.09,3.94,14
176,BERREP,0.46,0.04,2.76,16
216,BERREP,1.85,1,3.25,17
277,BERREP,1.05,0.78,4.02,11.5
278,BERREP,0.65,0.11,2.94,8
432,BERREP,0.71,0.12,4.04,23
505,BERREP,1.09,0.31,3.2,19
506,BERREP,0.67,0.14,3.49,21.5
507,BERREP,1.35,0.13,3.78,11.4
508,BERREP,1.25,0.24,2.32,11.9
621,BERREP,1.84,0.44,3.38,22
680,BERREP,0.95,0.1,3.7,10
681,BERREP,0.61,0.01,3.56,11
726,BERREP,1.06,0.15,4.01,18
728,BERREP,1.02,0.75,3.97,20
824,BERREP,1.56,0.15,3.51,11
881,BERREP,1.72,0.22,3.09,11
883,BERREP,1.95,0.26,3.18,13
907,BERREP,2.77,0.9,4.03,23
909,BERREP,1.63,0.3,3.18,16
918,BERREP,0.62,0.08,2.21,6
919,BERREP,0.42,0.8,2.62,18
920,BERREP,1.19,0.23,2.69,12
1036,BERREP,1.02,0.26,2.78,8.1
1038,BERREP,1.2,0.36,2.93,32
1041,BERREP,1.24,0.19,3.07,14
1042,BERREP,0.53,0.14,3.19,12
1044,BERREP,1.33,0.22,4.1,24
1047,BERREP,1.07,0.17,3.72,16
1051,BERREP,1.52,0.29,2.16,19
1055,BERREP,0.94,0.14,3.13,15
1076,BERREP,0.18,0.92,3.61,18.5
1078,BERREP,0.7,0.84,4.5,21
1079,BERREP,0.67,0.03,4.27,16
1086,BERREP,0.41,0.06,1.68,12
1088,BERREP,0.68,0.18,3.51,9
1089,BERREP,0.6,0.13,2.11,14
1090,BERREP,0.22,0.04,1.43,9
1091,BERREP,1.29,1.65,4.08,28
1092,BERREP,1.22,0.34,1.79,16
1093,BERREP,1.49,0.29,2.35,16
1094,BERREP,2.05,0.38,3.28,13
1097,BERREP,1.82,0.46,3.33,16
1098,BERREP,1.11,0.15,0,11
1099,BERREP,1.3,0.15,3.75,11
1100,BERREP,0.76,0.15,3.71,13
1101,BERREP,1.46,0.88,3.97,20
1103,BERREP,0.85,0.12,5.24,16
1105,BERREP,2.43,0.79,4,21
